id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
89f83342d8429a2b,portalinmobiliario,Edificio Vergara Vista Oriente Piso 6,CLP,,300000,95000,False,395000,1,1,29.0,,True,0,0,False,6,O,"Vergara 583, Ejército - Toesca, Santiago",Santiago,,Parque Almagro,1401,True,,-33.454323,-70.6616134,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,0.0,normal,https://portalinmobiliario.com/MLC-2102531829-edificio-vergara-vista-oriente-piso-6-_JM,"https://www.google.com/maps/search/?api=1&query=-33.454323,-70.6616134"
774b75997498b29e,portalinmobiliario,¡descuento! Depto. 1d + 1b En Santiago [id: W20608],CLP,,296000,100000,False,396000,1,1,31.0,,True,0,0,False,7,SO,"Arturo Prat 376, San Diego, Santiago",Santiago,,Parque Almagro,867,True,,-33.4499083,-70.6491385,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,-1.3,normal,https://portalinmobiliario.com/MLC-2155621517-descuento-depto-1d-1b-en-santiago-id-w20608-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4499083,-70.6491385"
161eb0e8cca3de93,chilepropiedades,Lindo Departamento 1 Dormitorio Sta Isabel/Tocornal,CLP,,330000,,True,400000,1,1,35.0,,,,,,,,Lindo Departamento 1 Dormitorio Sta Isabel/Tocornal,Santiago,,Santa Lucía,504,,,-33.44525,-70.64425,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,0.8,normal,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/santa-isabel-341/128524836,"https://www.google.com/maps/search/?api=1&query=-33.44525,-70.64425"
8d1fba6c53dc9b50,chilepropiedades,"Amunátegui 767, Santiago",CLP,,330000,,True,400000,1,1,29.24,,,,,,,,"Amunátegui 767, Santiago",Santiago,,Plaza de Armas,686,,,-33.4350223,-70.657203,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,10.0,caro,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/amunategui-767/106909058,"https://www.google.com/maps/search/?api=1&query=-33.4350223,-70.657203"
8bb2c52003965d1c,portalinmobiliario,Centrico Y Amblio Depratamento 1d1b,CLP,,340000,60000,False,400000,1,1,30.0,11,False,0,0,False,1,NO,"METRO U. DE CHILE, Bulnes, Santiago",Santiago,,Tobalaba,4594,True,,-33.3778372,-70.6133985,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,13.3,caro,https://portalinmobiliario.com/MLC-2138523113-centrico-y-amblio-depratamento-1d1b-_JM,"https://www.google.com/maps/search/?api=1&query=-33.3778372,-70.6133985"
1b159c5f6d46889f,portalinmobiliario,"Departamento 1d/1b, Arturo Prat 300",CLP,,295000,105000,False,400000,1,1,37.0,7,True,0,0,False,4,N,"Arturo Prat 644, Santiago, San Diego, Santiago",Santiago,,Parque Almagro,505,True,,-33.45311,-70.6483882,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,-9.9,normal,https://portalinmobiliario.com/MLC-2095180837-departamento-1d1b-arturo-prat-300-_JM,"https://www.google.com/maps/search/?api=1&query=-33.45311,-70.6483882"
6fdda222ce25a35e,portalinmobiliario,Departamento Avenida Santa Rosa Id: 118044,CLP,,333000,70000,False,403000,1,1,30.0,0,True,0,0,False,6,S,"Avenida Santa Rosa, San Diego, Santiago",Santiago,,Santa Lucía,730,True,,-33.4471792,-70.6450659,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,11.0,caro,https://portalinmobiliario.com/MLC-2061580201-departamento-avenida-santa-rosa-id-118044-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4471792,-70.6450659"
8f55939e8f457e67,portalinmobiliario,Departamento San Diego Id: 99089,CLP,,350000,55000,False,405000,1,1,36.0,11,False,0,0,False,16,O,"San Diego, Parque O'Higgins, Santiago",Santiago,,La Moneda,669,True,,-33.4483751,-70.6509238,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,6.9,normal,https://portalinmobiliario.com/MLC-2045614489-departamento-san-diego-id-99089-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4483751,-70.6509238"
06b0e25a3ccbb9c4,portalinmobiliario,Home Inclusive Ejército,CLP,,341000,65000,False,406000,1,1,28.0,,,,,,,,"Av. Ejército Libertador 75, Santiago, Ejército - Toesca, Santiago",Santiago,,La Moneda,893,,,-33.4478029,-70.6615161,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,13.7,caro,https://portalinmobiliario.com/MLC-3991390320-home-inclusive-ejercito-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4478029,-70.6615161"
201e4da312a6da8c,portalinmobiliario,Edificio Av. España Vista Oriente Piso 6,CLP,,335000,75000,False,410000,1,1,29.0,,True,0,0,False,6,O,"Av. España 471, Barrio República, Santiago",Santiago,,La Moneda,1956,True,,-33.4547088,-70.6695276,25,False,False,True,True,,,Santiago · 1D 1B · <35 m²,300000,11.7,caro,https://portalinmobiliario.com/MLC-2082128759-edificio-av-espana-vista-oriente-piso-6-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4547088,-70.6695276"
dcbfe3b765d9c731,portalinmobiliario,Departamento Padre Alonso De Ovalle Id: 119471,CLP,,350000,65000,False,415000,1,1,35.0,12,True,0,0,False,13,S,"Padre Alonso De Ovalle, Bulnes, Santiago",Santiago,,Universidad de Chile,584,True,,-33.445875,-70.64750000000001,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,6.9,normal,https://portalinmobiliario.com/MLC-2164064411-departamento-padre-alonso-de-ovalle-id-119471-_JM,"https://www.google.com/maps/search/?api=1&query=-33.445875,-70.64750000000001"
e589ba34cffb250f,portalinmobiliario,"Departamento 1d/1b, Calle Eleuterio Ramirez.",CLP,,320000,95000,False,415000,1,1,33.0,10,False,0,0,False,24,O,"Eleuterio Ramírez 825, Santiago, Bulnes, Santiago",Santiago,,La Moneda,868,True,,-33.4484979,-70.6473773,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,6.7,normal,https://portalinmobiliario.com/MLC-4211501340-departamento-1d1b-calle-eleuterio-ramirez-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4484979,-70.6473773"
69f7836537fd8cd3,portalinmobiliario,Departamento San Francisco Id: 22432,CLP,,295000,120000,False,415000,1,1,36.0,0,False,0,0,False,8,S,"San Francisco, San Diego, Santiago",Santiago,,Parque Almagro,688,True,,-33.4513106,-70.6468074,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,-9.9,normal,https://portalinmobiliario.com/MLC-2105010039-departamento-san-francisco-id-22432-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4513106,-70.6468074"
83987d8cd2698cd5,portalinmobiliario,"Ejército Libertador 634 - Departamento 1d1b, Santiago",CLP,,325352,93973,False,419325,1,1,30.0,3,False,0,0,False,2,O,"Av. Ejército Libertador 634, Ejército - Toesca, Santiago",Santiago,,Parque Almagro,1235,True,,-33.4547412,-70.659895,25,False,False,True,False,325341,11,Santiago · 1D 1B · <35 m²,300000,8.5,normal,https://portalinmobiliario.com/MLC-2042155289-ejercito-libertador-634-departamento-1d1b-santiago-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4547412,-70.659895"
005b55b59ee6acc3,chilepropiedades,"Santo Domingo 2068, Santiago",CLP,,350000,,True,420000,1,1,30.0,,,,,,,,"Santo Domingo 2068, Santiago",Santiago,,La Moneda,1215,,,-33.4377727,-70.6654579,25,False,False,True,True,,,Santiago · 1D 1B · <35 m²,300000,16.7,caro,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/santiago/departamento/santo-domingo-2068/130374739,"https://www.google.com/maps/search/?api=1&query=-33.4377727,-70.6654579"
96145bd328b4a00e,portalinmobiliario,Arriendo Dpto Estudio Con Terraza Nuevo!!,CLP,,350000,70000,False,420000,1,1,26.0,0,True,0,0,False,3,P,"Capitán Wood 1800 - 2100, Santiago, Parque O'Higgins, Santiago",Santiago,,Franklin,1626,True,,-33.4709609,-70.6621851,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,16.7,caro,https://portalinmobiliario.com/MLC-4038911388-arriendo-dpto-estudio-con-terraza-nuevo-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4709609,-70.6621851"
2abaacaa197a8c35,portalinmobiliario,Echaurren,CLP,,352000,78000,False,430000,1,1,31.0,,,,,,,,"Echaurren 40, Barrio República, Santiago",Santiago,,La Moneda,1331,,,-33.4487229,-70.6664293,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,17.3,caro,https://portalinmobiliario.com/MLC-2731745426-echaurren-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4487229,-70.6664293"
916246275198307e,portalinmobiliario,Edificio Morandé Vista Oriente Piso 6,CLP,,345000,85000,False,430000,1,1,36.0,,False,0,0,False,6,O,"Morandé 776, Centro Histórico De Santiago, Santiago",Santiago,,Plaza de Armas,506,True,,-33.4347063,-70.6545934,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,5.3,normal,https://portalinmobiliario.com/MLC-2045860111-edificio-morande-vista-oriente-piso-6-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4347063,-70.6545934"
30c394ad9986ef5c,portalinmobiliario,Edificio Toesca Vista Poniente Piso 6,CLP,,325000,105000,False,430000,1,1,35.0,,True,0,0,False,6,P,"Toesca 2597, Barrio República, Santiago",Santiago,,La Moneda,2139,True,,-33.4553172,-70.6715081,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,-0.8,normal,https://portalinmobiliario.com/MLC-2037487687-edificio-toesca-vista-poniente-piso-6-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4553172,-70.6715081"
1db0b5b5a1816218,portalinmobiliario,Santa Victoria 340 Metro Santa Isabel,CLP,,360000,,True,430000,2,2,40.0,21,True,0,1,False,,P,"Santa Victoria, 340, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Lucía,900,True,,-33.4488853,-70.6426919,25,False,False,True,True,,,Santa Isabel · 2D 2B · 35-50 m²,380000,-5.3,normal,https://portalinmobiliario.com/MLC-2167488413-santa-victoria-340-metro-santa-isabel-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4488853,-70.6426919"
a8cd167fc62da1e5,portalinmobiliario,Departamento San Francisco Id: 19153,UF,9.0,367722,,True,437722,1,1,32.0,,,,,,,,"San Francisco, San Diego, Santiago",Santiago,,Parque Almagro,688,,,-33.4513106,-70.6468074,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,22.6,caro,https://portalinmobiliario.com/MLC-2050902503-departamento-san-francisco-id-19153-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4513106,-70.6468074"
119a4e10a0a4cc5f,portalinmobiliario,Edificio Eleuterio Ramírez Vista Poniente Piso 9,CLP,,370000,,True,440000,1,1,33.0,,,,,,,,"Eleuterio Ramírez 1443, Parque Almagro, Santiago",Santiago,,La Moneda,839,,,-33.4503417,-70.6553668,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,23.3,caro,https://portalinmobiliario.com/MLC-4168016964-edificio-eleuterio-ramirez-vista-poniente-piso-9-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4503417,-70.6553668"
f65394d1e79928c4,portalinmobiliario,Serrano Capital,CLP,,367000,75000,False,442000,1,1,30.0,,,,,,,,"Serrano 562, Santiago, San Diego, Santiago",Santiago,,Parque Almagro,618,,,-33.4519826,-70.6478201,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,22.3,caro,https://portalinmobiliario.com/MLC-1863768803-serrano-capital-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4519826,-70.6478201"
39f7170a0c92730b,portalinmobiliario,Departamento Sazié Id: 90111,CLP,,350000,95000,False,445000,1,1,35.0,0,True,0,0,False,7,NP,"Sazié, Barrio República, Santiago",Santiago,,La Moneda,1389,True,,-33.450567,-70.6657252,25,False,False,True,False,,,Santiago · 1D 1B · 35-50 m²,327500,6.9,normal,https://portalinmobiliario.com/MLC-4198333968-departamento-sazie-id-90111-_JM,"https://www.google.com/maps/search/?api=1&query=-33.450567,-70.6657252"
5243830eca38272a,portalinmobiliario,Edificio Arturo Prat Vista Sur Piso 7,CLP,,375000,,True,445000,1,1,31.0,,,,,,,,"Arturo Prat 595, San Diego, Santiago",Santiago,,Parque Almagro,579,,,-33.4524755,-70.6486313,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,25.0,caro,https://portalinmobiliario.com/MLC-2037563199-edificio-arturo-prat-vista-sur-piso-7-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4524755,-70.6486313"
202020682d7852a0,portalinmobiliario,"Edificio Santa Elvira  Santiago, Chile Vista Oriente Piso 4",CLP,,375000,,True,445000,1,1,30.0,,,,,,,,"Santa Elvira 20 Santiago, Chile, Bogotá - Sierra Bella, Santiago",Santiago,,Bío Bío,798,,,-33.4597622,-70.6343527,25,False,False,True,False,,,Santiago · 1D 1B · <35 m²,300000,25.0,caro,https://portalinmobiliario.com/MLC-2037606989-edificio-santa-elvira-santiago-chile-vista-oriente-piso-4-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4597622,-70.6343527"
9f67d6f1e0fb993e,chilepropiedades,"Los avellanos 2551, Barrio Zañartu. Ñuñoa, Ñuñoa",CLP,,376000,,True,446000,1,1,31.0,,,,,,,,"Los avellanos 2551, Barrio Zañartu. Ñuñoa, Ñuñoa",Ñuñoa,,Chile España,2002,,,-33.4733255,-70.6058281,25,False,False,True,False,,,Ñuñoa · 1D 1B · <35 m²,380000,-1.1,normal,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/nunoa/departamento/los-avellanos-2551-barrio-zanartu-nunoa/31062852,"https://www.google.com/maps/search/?api=1&query=-33.4733255,-70.6058281"
