id,fuente,titulo,moneda,precio_uf,precio_clp,gastos_comunes_clp,gastos_comunes_estimado,total_estimado_clp,dormitorios,banos,superficie_m2,antiguedad_anios,admite_mascotas,estacionamientos,bodegas,amoblado,piso,orientacion,direccion,comuna,barrio,metro_cercano,metro_dist_m,corredor,plazo_entrega,lat,lng,relevancia,match_perfecto,dentro_presupuesto,calza_dormitorios,es_nuevo,precio_anterior,precio_delta,grupo_carac,precio_grupo_prom,delta_grupo_pct,etiqueta_precio,url,google_maps
05eba597256c3641,portalinmobiliario,Depto 2 D 2 B Frente Metro Parque Bustamante Y Barrio Italia,CLP,,650000,,True,750000,2,2,65.0,,,,,,,,"Seminario 143, Providencia, Barrio Italia, Providencia",Providencia,Barrio Italia,Parque Bustamante,152,,,-33.4416683,-70.629885,45,False,False,True,False,,,Providencia · 2D · 65-80 m²,840000,-22.6,oferta,https://portalinmobiliario.com/MLC-4254751736-depto-2-d-2-b-frente-metro-parque-bustamante-y-barrio-italia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4416683,-70.629885"
10d891a109a99c25,portalinmobiliario,"Acogedor, Con E Y B. Excelente Ubicación.",CLP,,650000,,True,750000,2,2,63.0,,,,,,,,"Gral. Jofré 70, Santiago, Santa Isabel, Santiago",Santiago,Santa Isabel,Santa Isabel,376,,,-33.453625,-70.63175,45,False,False,True,False,,,Santa Isabel · 2D 2B · 50-65 m²,520000,25.0,caro,https://portalinmobiliario.com/MLC-2120257937-acogedor-con-e-y-b-excelente-ubicacion-_JM,"https://www.google.com/maps/search/?api=1&query=-33.453625,-70.63175"
a1128df303a7e1f4,portalinmobiliario,Depto Arriendo De 2d/2b En Santiago Centro,CLP,,650000,,True,750000,2,2,70.0,,,,,,,,"Frente Barrio Lastarria, Barrio San Borja, Santiago",Santiago,Lastarria,Universidad Católica,291,,,-33.438125,-70.63905,45,False,False,True,True,,,Santiago · 2D · 65-80 m²,570000,14.0,caro,https://portalinmobiliario.com/MLC-4160893932-depto-arriendo-de-2d2b-en-santiago-centro-_JM,"https://www.google.com/maps/search/?api=1&query=-33.438125,-70.63905"
54ebe55cd7f1da43,portalinmobiliario,Nomad Holley,UF,16.0,653520,,True,753520,2,2,32.0,,,,,,,,"Bucarest 50, Santiago, Providencia, Los Leones, Providencia",Providencia,Los Leones,Los Leones,424,True,Entrega inmediata,-33.4198424,-70.6074587,45,False,False,True,False,,,Providencia · 2D,730000,-10.5,oferta,https://portalinmobiliario.com/MLC-2910310870-nomad-holley-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4198424,-70.6074587"
21d057c13b36e270,portalinmobiliario,Hermoso Departamento A Pasos De Estación Metro Los Leones,UF,16.0,653520,,True,753520,2,2,45.0,,,,,,,,"Mardoqueo Fernández 101, Providencia, Los Leones, Providencia",Providencia,Los Leones,Los Leones,317,,,-33.4212865,-70.6067962,45,False,False,True,True,,,Providencia · 2D · 35-50 m²,653520,0.0,normal,https://portalinmobiliario.com/MLC-2125787079-hermoso-departamento-a-pasos-de-estacion-metro-los-leones-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4212865,-70.6067962"
0d0445278b54c9fb,portalinmobiliario,"Central 2d,2b,e Y B, Providencia",CLP,,660000,,True,760000,2,2,50.0,,,,,,,,"Mardoqueo Fernández 101, Providencia, Los Leones, Providencia",Providencia,Los Leones,Los Leones,317,,,-33.4212865,-70.6067962,45,False,False,True,False,,,Los Leones · 2D · 50-65 m²,694365,-4.9,normal,https://portalinmobiliario.com/MLC-4206489280-central-2d2be-y-b-providencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4212865,-70.6067962"
a3535b344d0c6152,portalinmobiliario,Departamento En Arriendo De 2 Dorm. En Ñuñoa,CLP,,685000,,True,785000,2,2,51.0,,,,,,,,"Tegualda / Barrio Italia, Metro Irarrázaval, Ñuñoa",Ñuñoa,Barrio Italia,Irarrázaval,466,,,-33.4520048,-70.6220988,45,False,False,True,True,,,Barrio Italia · 2D 2B · 50-65 m²,730000,-6.2,normal,https://portalinmobiliario.com/MLC-4247980356-departamento-en-arriendo-de-2-dorm-en-nunoa-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4520048,-70.6220988"
3c138ca2c8b5302a,portalinmobiliario,Nomad Bellet,UF,17.0,694365,,True,794365,2,2,35.0,,,,,,,,"Antonio Bellet 126, Providencia, Pedro De Valdivia, Providencia",Providencia,Pedro de Valdivia,Manuel Montt,144,,Entrega inmediata,-33.4262423,-70.6176824,45,False,False,True,False,,,Pedro de Valdivia · 2D · 35-50 m²,694365,0.0,normal,https://portalinmobiliario.com/MLC-3188759800-nomad-bellet-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4262423,-70.6176824"
42330856bff66787,portalinmobiliario,Arriendo Depto Estilo Antiguo Providencia Bellavista,CLP,,700000,,True,800000,2,2,90.0,,,,,,,,"Carlos Walker Martínez, Providencia, Bellavista, Providencia",Providencia,Providencia,Baquedano,454,,,-33.4339325,-70.6309949,45,False,False,True,False,,,Providencia · 2D · 80+ m²,760000,-7.9,normal,https://portalinmobiliario.com/MLC-4196031384-arriendo-depto-estilo-antiguo-providencia-bellavista-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4339325,-70.6309949"
73b32509ac049ea9,portalinmobiliario,Vicuña Mackenna / Metro Baquedano,CLP,,700000,,True,800000,2,2,84.0,,,,,,,,"Av. Vicuña Mackenna 1 - 300, Providencia, Plaza Italia, Providencia",Providencia,Providencia,Baquedano,356,,,-33.4397934,-70.6344765,45,False,False,True,False,,,Providencia · 2D · 80+ m²,760000,-7.9,normal,https://portalinmobiliario.com/MLC-2122807009-vicuna-mackenna-metro-baquedano-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4397934,-70.6344765"
83a4554256476b34,portalinmobiliario,Departamento Inés Matte Urrejola Id: 166057,CLP,,700000,,True,800000,2,2,74.0,,,,,,,,"Inés Matte Urrejola, Bellavista, Providencia",Providencia,Providencia,Salvador,213,,,-33.4271005,-70.6258799,45,False,False,True,False,,,Providencia · 2D 2B · 65-80 m²,878872,-20.4,oferta,https://portalinmobiliario.com/MLC-2117575451-departamento-ines-matte-urrejola-id-166057-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4271005,-70.6258799"
34e6b9b5eff1b2d2,portalinmobiliario,Se Arrienda Amplio Depto En El Exclusivo Barrio Lastarrias,CLP,,700000,,True,800000,2,2,53.0,,,,,,,,"José Victorino Lastarria 104, Santiago, Barrio Lastarria, Santiago",Santiago,Lastarria,Universidad Católica,102,,,-33.4398937,-70.6415194,45,False,False,True,False,,,Santiago · 2D · 50-65 m²,470000,48.9,caro,https://portalinmobiliario.com/MLC-4253060942-se-arrienda-amplio-depto-en-el-exclusivo-barrio-lastarrias-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4398937,-70.6415194"
db28c450f0229b7b,portalinmobiliario,Dos Dormitorios Metro Manuel Mont Estacionamiento,CLP,,720000,,True,820000,2,2,56.0,,,,,,,,"METRO MANUEL MONTT, Manuel Montt, Providencia",Providencia,Manuel Montt,Manuel Montt,200,,,-33.4282153,-70.6192782,45,False,False,True,False,,,Manuel Montt · 2D · 50-65 m²,720000,0.0,normal,https://portalinmobiliario.com/MLC-4253061926-dos-dormitorios-metro-manuel-mont-estacionamiento-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4282153,-70.6192782"
b100fafdc62ee76c,portalinmobiliario,Arriendo Depto Metro Manuel Montt Providencia,CLP,,730000,,True,830000,2,2,50.0,,,,,,,,"Pérez Valenzuela 1209, Providencia, Manuel Montt, Providencia",Providencia,Manuel Montt,Manuel Montt,450,,,-33.4289297,-70.6218411,45,False,False,True,True,,,Manuel Montt · 2D · 50-65 m²,720000,1.4,normal,https://portalinmobiliario.com/MLC-4279938966-arriendo-depto-metro-manuel-montt-providencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4289297,-70.6218411"
f2271b948b73fed4,portalinmobiliario,Padre Mariano/ Providencia /metro Pedro De Valdivia,UF,18.0,735210,,True,835210,2,2,63.0,,,,,,,,"Padre Mariano 1 - 300, Providencia, Pedro De Valdivia, Providencia",Providencia,Pedro de Valdivia,Manuel Montt,272,,,-33.4250602,-70.6170597,45,False,False,True,False,,,Pedro de Valdivia · 2D 2B · 50-65 m²,750000,-2.0,normal,https://portalinmobiliario.com/MLC-2099534105-padre-mariano-providencia-metro-pedro-de-valdivia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4250602,-70.6170597"
6652bc6e48f0dff4,chilepropiedades,"Parque inez de suarez/antonio varas/metro ines de suarez, Providencia",CLP,,750000,,True,850000,2,2,68.0,,,,,,,,"Parque inez de suarez/antonio varas/metro ines de suarez, Providencia",Providencia,Providencia,Pedro de Valdivia,165,,,-33.42525,-70.609,45,False,False,True,False,,,Providencia · 2D 2B · 65-80 m²,878872,-14.7,oferta,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/providencia/departamento/parque-inez-de-suarez-antonio-varas-metro-ines-de-suarez/124712277,"https://www.google.com/maps/search/?api=1&query=-33.42525,-70.609"
d66054cca40380f8,portalinmobiliario,"Acogedor Departamento/2d,2b,estac.y Bodega/providencia",CLP,,750000,,True,850000,2,2,62.0,,,,,,,,"PARQUE INEZ DE SUAREZ/ANTONIO VARAS/METRO INES DE SUAREZ, Inés De Suárez, Providencia",Providencia,Providencia,Los Leones,265,,,-33.42375,-70.604625,45,False,False,True,False,,,Providencia · 2D 2B · 50-65 m²,750000,0.0,normal,https://portalinmobiliario.com/MLC-4182782894-acogedor-departamento2d2bestacy-bodegaprovidencia-_JM,"https://www.google.com/maps/search/?api=1&query=-33.42375,-70.604625"
578d1d45bd7f12d7,portalinmobiliario,"Duplex, 2 Dorm Amplios 1 1/2 Baños Excelente Ubicación",CLP,,760000,,True,860000,2,2,80.0,,,,,,,,"Av. Luis Thayer Ojeda 43, Providencia, Metro Tobalaba - Mall Costanera, Providencia",Providencia,Providencia,Pedro de Valdivia,395,,,-33.424625,-70.606625,45,False,False,True,False,,,Providencia · 2D · 80+ m²,760000,0.0,normal,https://portalinmobiliario.com/MLC-2122820563-duplex-2-dorm-amplios-1-12-banos-excelente-ubicacion-_JM,"https://www.google.com/maps/search/?api=1&query=-33.424625,-70.606625"
cf89eea6bcf16a78,portalinmobiliario,Departamento En Arriendo De 2 Dorm. En Ñuñoa,CLP,,770000,,True,870000,2,2,48.0,,,,,,,,"San Eugenio // Bustamante, Parque San Eugenio - Metro Ñuble, Ñuñoa",Ñuñoa,Bustamante,Parque Bustamante,461,,,-33.4425,-70.63555,45,False,False,True,True,,,Ñuñoa · 2D · 35-50 m²,550000,40.0,caro,https://portalinmobiliario.com/MLC-4125910768-departamento-en-arriendo-de-2-dorm-en-nunoa-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4425,-70.63555"
f351f7c99d57dca3,portalinmobiliario,Loft- Remodelado- Disponible 05-09-2026- Maiten Propiedades,UF,19.0,776055,,True,876055,2,2,60.0,,,,,,,,"Padre Luis De Valdivia, Santiago, Barrio Lastarria, Santiago",Santiago,Lastarria,Santa Lucía,161,,,-33.4395451,-70.6423347,45,False,False,True,False,,,Santiago · 2D · 50-65 m²,470000,65.1,caro,https://portalinmobiliario.com/MLC-2059601335-loft-remodelado-disponible-05-09-2026-maiten-propiedades-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4395451,-70.6423347"
cc53792f6bc056b4,chilepropiedades,"Jose domingo cañas con pedro de valdivia, Ñuñoa",CLP,,780000,,True,880000,2,2,61.0,,,,,,,,"Jose domingo cañas con pedro de valdivia, Ñuñoa",Ñuñoa,Pedro de Valdivia,Chile España,465,,,-33.4563876,-70.6170976,45,False,False,True,False,,,Pedro de Valdivia · 2D 2B · 50-65 m²,750000,4.0,normal,https://chilepropiedades.cl/ver-publicacion/arriendo-mensual/nunoa/departamento/jose-domingo-canas-con-pedro-de-valdivia/127056573,"https://www.google.com/maps/search/?api=1&query=-33.4563876,-70.6170976"
6ad1003ffdb29a35,portalinmobiliario,2d/2b Lastarria-remodelado,CLP,,780000,,True,880000,2,2,72.0,,,,,,,,"Barrio Lastarria, Santiago",Santiago,Lastarria,Bellas Artes,168,,,-33.4379661,-70.6410161,45,False,False,True,False,,,Santiago · 2D · 65-80 m²,570000,36.8,caro,https://portalinmobiliario.com/MLC-2089673513-2d2b-lastarria-remodelado-_JM,"https://www.google.com/maps/search/?api=1&query=-33.4379661,-70.6410161"
